model,metric,group,n,mean,std,ci95_low,ci95_high
efficientnet_b0,accuracy,ArSDM,5,0.7933884297520661,0.015461394160222892,0.7741905732612794,0.8125862862428529
efficientnet_b0,accuracy,Controlnet,5,0.8016528925619835,0.008264462809917328,0.7913912066264152,0.8119145784975518
efficientnet_b0,accuracy,DFMGAN,5,0.7966942148760332,0.013829091347670667,0.7795231300217593,0.8138652997303071
efficientnet_b0,accuracy,Derm-T2IM,5,0.8049586776859504,0.011087940384296474,0.7911911812965399,0.818726174075361
efficientnet_b0,accuracy,DreamBooth,5,0.7702479338842976,0.019731134522831914,0.7457484945035817,0.7947473732650134
efficientnet_b0,accuracy,LesionGen,5,0.7669421487603307,0.02293295359588697,0.7384671259078402,0.7954171716128212
efficientnet_b0,accuracy,Siamese,5,0.7933884297520661,0.008264462809917328,0.7831267438164978,0.8036501156876344
efficientnet_b0,accuracy,T2I-Adapter,5,0.7884297520661158,0.012533678419919902,0.7728671348070377,0.8039923693251938
efficientnet_b0,accuracy,baseline,5,0.7289256198347108,0.013579898119962798,0.712063949239878,0.7457872904295436
efficientnet_b0,accuracy,flow,5,0.824793388429752,0.010775541165624215,0.8114137869032338,0.8381729899562702
efficientnet_b0,balanced_accuracy,ArSDM,5,0.7560855810855811,0.026828742400081474,0.722773297530317,0.7893978646408452
efficientnet_b0,balanced_accuracy,Controlnet,5,0.7257659007659008,0.010924904333137154,0.712200840371624,0.7393309611601775
efficientnet_b0,balanced_accuracy,DFMGAN,5,0.7212454212454211,0.022947149655152228,0.6927527716572246,0.7497380708336177
efficientnet_b0,balanced_accuracy,Derm-T2IM,5,0.7408424908424909,0.013089967087152739,0.7245891499727011,0.7570958317122807
efficientnet_b0,balanced_accuracy,DreamBooth,5,0.7014652014652015,0.018502272474339602,0.6784915958488575,0.7244388070815455
efficientnet_b0,balanced_accuracy,LesionGen,5,0.6826340326340327,0.03460201106351088,0.6396699612310228,0.7255981040370425
efficientnet_b0,balanced_accuracy,Siamese,5,0.731127206127206,0.012356700514523667,0.7157843359617361,0.746470076292676
efficientnet_b0,balanced_accuracy,T2I-Adapter,5,0.7089077589077588,0.01358866043871972,0.6920352084571847,0.7257803093583329
efficientnet_b0,balanced_accuracy,baseline,5,0.6285880785880786,0.019328779798446504,0.6045882285831393,0.652587928593018
efficientnet_b0,balanced_accuracy,flow,5,0.7776889776889777,0.011301769885406926,0.7636559769062844,0.791721978471671
efficientnet_b0,macro_auc_ovr,ArSDM,5,0.9544560384599994,0.00410081124573984,0.9493642087727351,0.9595478681472637
efficientnet_b0,macro_auc_ovr,Controlnet,5,0.9607939106211344,0.00233108612033646,0.9578994849088002,0.9636883363334686
efficientnet_b0,macro_auc_ovr,DFMGAN,5,0.9554185022094221,0.0014481007146074341,0.9536204476863209,0.9572165567325234
efficientnet_b0,macro_auc_ovr,Derm-T2IM,5,0.9617250678044631,0.0034592779263768903,0.9574298069434999,0.9660203286654263
