group,model,seed,metric,value
ArSDM,resnet18,123,accuracy,0.8791208791208791
ArSDM,resnet18,123,balanced_accuracy,0.7411743863789247
ArSDM,resnet18,123,macro_precision,0.8025523126854538
ArSDM,resnet18,123,macro_recall,0.7411743863789247
ArSDM,resnet18,123,macro_f1,0.7670982109270261
ArSDM,resnet18,123,macro_auc_ovr,0.9746607145942896
ArSDM,resnet18,2024,accuracy,0.8711288711288712
ArSDM,resnet18,2024,balanced_accuracy,0.7441074720555918
ArSDM,resnet18,2024,macro_precision,0.7789207978817883
ArSDM,resnet18,2024,macro_recall,0.7441074720555918
ArSDM,resnet18,2024,macro_f1,0.7577617054169902
ArSDM,resnet18,2024,macro_auc_ovr,0.9768721092222928
ArSDM,resnet18,3407,accuracy,0.8671328671328671
ArSDM,resnet18,3407,balanced_accuracy,0.7055935891683457
ArSDM,resnet18,3407,macro_precision,0.7538629411762067
ArSDM,resnet18,3407,macro_recall,0.7055935891683457
ArSDM,resnet18,3407,macro_f1,0.7233233231706402
ArSDM,resnet18,3407,macro_auc_ovr,0.9752510143284978
ArSDM,resnet18,7777,accuracy,0.8701298701298701
ArSDM,resnet18,7777,balanced_accuracy,0.7631820000986042
ArSDM,resnet18,7777,macro_precision,0.7935214770851738
ArSDM,resnet18,7777,macro_recall,0.7631820000986042
ArSDM,resnet18,7777,macro_f1,0.7734584323670873
ArSDM,resnet18,7777,macro_auc_ovr,0.9786929110232203
ArSDM,resnet50,42,accuracy,0.8901098901098901
ArSDM,resnet50,42,balanced_accuracy,0.8017430324207476
ArSDM,resnet50,42,macro_precision,0.8164404120212705
ArSDM,resnet50,42,macro_recall,0.8017430324207476
ArSDM,resnet50,42,macro_f1,0.8078474978614872
ArSDM,resnet50,42,macro_auc_ovr,0.9824270198684916
ArSDM,resnet50,123,accuracy,0.8861138861138861
ArSDM,resnet50,123,balanced_accuracy,0.7611166259475634
ArSDM,resnet50,123,macro_precision,0.8035433887477722
ArSDM,resnet50,123,macro_recall,0.7611166259475634
ArSDM,resnet50,123,macro_f1,0.7795825074379866
ArSDM,resnet50,123,macro_auc_ovr,0.9815420110770017
ArSDM,resnet50,2024,accuracy,0.8941058941058941
ArSDM,resnet50,2024,balanced_accuracy,0.79281850562755
ArSDM,resnet50,2024,macro_precision,0.8092160227842718
ArSDM,resnet50,2024,macro_recall,0.79281850562755
ArSDM,resnet50,2024,macro_f1,0.7989503203868403
ArSDM,resnet50,2024,macro_auc_ovr,0.9823626779308744
ArSDM,resnet50,3407,accuracy,0.8891108891108891
ArSDM,resnet50,3407,balanced_accuracy,0.7671128885180415
ArSDM,resnet50,3407,macro_precision,0.8118523849873809
ArSDM,resnet50,3407,macro_recall,0.7671128885180415
ArSDM,resnet50,3407,macro_f1,0.7857069617648975
ArSDM,resnet50,3407,macro_auc_ovr,0.9786602343008971
ArSDM,resnet50,7777,accuracy,0.8961038961038961
ArSDM,resnet50,7777,balanced_accuracy,0.8068986219307553
ArSDM,resnet50,7777,macro_precision,0.8339816821276792
ArSDM,resnet50,7777,macro_recall,0.8068986219307553
ArSDM,resnet50,7777,macro_f1,0.818421032675646
ArSDM,resnet50,7777,macro_auc_ovr,0.9846376868242697
ArSDM,efficientnet_b0,42,accuracy,0.8541458541458542
ArSDM,efficientnet_b0,42,balanced_accuracy,0.6900910179333918
ArSDM,efficientnet_b0,42,macro_precision,0.7518580496626314
ArSDM,efficientnet_b0,42,macro_recall,0.6900910179333918
ArSDM,efficientnet_b0,42,macro_f1,0.7104073869374286
ArSDM,efficientnet_b0,42,macro_auc_ovr,0.97313258074703
ArSDM,efficientnet_b0,123,accuracy,0.8751248751248751
ArSDM,efficientnet_b0,123,balanced_accuracy,0.7223723317663003
ArSDM,efficientnet_b0,123,macro_precision,0.7768910228213505
ArSDM,efficientnet_b0,123,macro_recall,0.7223723317663003
ArSDM,efficientnet_b0,123,macro_f1,0.7350731517647822
ArSDM,efficientnet_b0,123,macro_auc_ovr,0.9734819814482177
ArSDM,efficientnet_b0,2024,accuracy,0.8491508491508492
ArSDM,efficientnet_b0,2024,balanced_accuracy,0.6678842193000953
ArSDM,efficientnet_b0,2024,macro_precision,0.7337942444275549
ArSDM,efficientnet_b0,2024,macro_recall,0.6678842193000953
ArSDM,efficientnet_b0,2024,macro_f1,0.6838388493171027
ArSDM,efficientnet_b0,2024,macro_auc_ovr,0.9704093068239846
ArSDM,efficientnet_b0,3407,accuracy,0.8701298701298701
ArSDM,efficientnet_b0,3407,balanced_accuracy,0.6947718003947757
ArSDM,efficientnet_b0,3407,macro_precision,0.7758518285181707
ArSDM,efficientnet_b0,3407,macro_recall,0.6947718003947757
ArSDM,efficientnet_b0,3407,macro_f1,0.7171910537047778
ArSDM,efficientnet_b0,3407,macro_auc_ovr,0.97476946661928
ArSDM,efficientnet_b0,7777,accuracy,0.8631368631368631
ArSDM,efficientnet_b0,7777,balanced_accuracy,0.7233180341504636
ArSDM,efficientnet_b0,7777,macro_precision,0.7645742144670609
ArSDM,efficientnet_b0,7777,macro_recall,0.7233180341504636
ArSDM,efficientnet_b0,7777,macro_f1,0.7329017653593229
ArSDM,efficientnet_b0,7777,macro_auc_ovr,0.9724701904327917
Controlnet,resnet18,42,accuracy,0.8661338661338661
Controlnet,resnet18,42,balanced_accuracy,0.7321436719392278
Controlnet,resnet18,42,macro_precision,0.7668914277874108
Controlnet,resnet18,42,macro_recall,0.7321436719392278
Controlnet,resnet18,42,macro_f1,0.7455427478611162
Controlnet,resnet18,42,macro_auc_ovr,0.9732148885770163
Controlnet,resnet18,123,accuracy,0.8761238761238761
Controlnet,resnet18,123,balanced_accuracy,0.7554486037497481
Controlnet,resnet18,123,macro_precision,0.8084030743384935
Controlnet,resnet18,123,macro_recall,0.7554486037497481
Controlnet,resnet18,123,macro_f1,0.7758760926289188
Controlnet,resnet18,123,macro_auc_ovr,0.9773497951201818
Controlnet,resnet18,2024,accuracy,0.8601398601398601
Controlnet,resnet18,2024,balanced_accuracy,0.7132202765391262
Controlnet,resnet18,2024,macro_precision,0.7601639749594439
Controlnet,resnet18,2024,macro_recall,0.7132202765391262
Controlnet,resnet18,2024,macro_f1,0.7314539686896172
Controlnet,resnet18,2024,macro_auc_ovr,0.9766717103031682
Controlnet,resnet18,3407,accuracy,0.8721278721278721
Controlnet,resnet18,3407,balanced_accuracy,0.7437469626393767
Controlnet,resnet18,3407,macro_precision,0.7877108341876974
Controlnet,resnet18,3407,macro_recall,0.7437469626393767
Controlnet,resnet18,3407,macro_f1,0.7632324495197983
Controlnet,resnet18,3407,macro_auc_ovr,0.9767949156555927
Controlnet,resnet18,7777,accuracy,0.8711288711288712
Controlnet,resnet18,7777,balanced_accuracy,0.7574182445060282
Controlnet,resnet18,7777,macro_precision,0.7870708768556993
Controlnet,resnet18,7777,macro_recall,0.7574182445060282
Controlnet,resnet18,7777,macro_f1,0.7694766199421766
Controlnet,resnet18,7777,macro_auc_ovr,0.9765331958233501
Controlnet,resnet50,42,accuracy,0.8811188811188811
Controlnet,resnet50,42,balanced_accuracy,0.7943755124413192
Controlnet,resnet50,42,macro_precision,0.8148327510342529
Controlnet,resnet50,42,macro_recall,0.7943755124413192
Controlnet,resnet50,42,macro_f1,0.8030814495477042
Controlnet,resnet50,42,macro_auc_ovr,0.9817646537014416
Controlnet,resnet50,123,accuracy,0.8771228771228772
Controlnet,resnet50,123,balanced_accuracy,0.7783606345357932
Controlnet,resnet50,123,macro_precision,0.7836640681548451
Controlnet,resnet50,123,macro_recall,0.7783606345357932
Controlnet,resnet50,123,macro_f1,0.7762659487529256
Controlnet,resnet50,123,macro_auc_ovr,0.978492835026185
Controlnet,resnet50,2024,accuracy,0.8911088911088911
Controlnet,resnet50,2024,balanced_accuracy,0.7836819850455864
Controlnet,resnet50,2024,macro_precision,0.8370977744515924
Controlnet,resnet50,2024,macro_recall,0.7836819850455864
Controlnet,resnet50,2024,macro_f1,0.8049593013164568
Controlnet,resnet50,2024,macro_auc_ovr,0.9817772637229359
Controlnet,resnet50,3407,accuracy,0.8771228771228772
Controlnet,resnet50,3407,balanced_accuracy,0.7691176673678058
Controlnet,resnet50,3407,macro_precision,0.845728933235055
Controlnet,resnet50,3407,macro_recall,0.7691176673678058
Controlnet,resnet50,3407,macro_f1,0.8014407494846829
Controlnet,resnet50,3407,macro_auc_ovr,0.980712137246713
Controlnet,resnet50,7777,accuracy,0.8821178821178821
Controlnet,resnet50,7777,balanced_accuracy,0.780078819119763
Controlnet,resnet50,7777,macro_precision,0.8295393989883545
Controlnet,resnet50,7777,macro_recall,0.780078819119763
Controlnet,resnet50,7777,macro_f1,0.800846515110787
Controlnet,resnet50,7777,macro_auc_ovr,0.9801005219173246
Controlnet,efficientnet_b0,42,accuracy,0.8571428571428571
Controlnet,efficientnet_b0,42,balanced_accuracy,0.7115455851639668
Controlnet,efficientnet_b0,42,macro_precision,0.758450977250365
Controlnet,efficientnet_b0,42,macro_recall,0.7115455851639668
Controlnet,efficientnet_b0,42,macro_f1,0.7260909566021084
Controlnet,efficientnet_b0,42,macro_auc_ovr,0.971984230911291
Controlnet,efficientnet_b0,123,accuracy,0.8581418581418582
Controlnet,efficientnet_b0,123,balanced_accuracy,0.6929207781084378
Controlnet,efficientnet_b0,123,macro_precision,0.7696859703786709
Controlnet,efficientnet_b0,123,macro_recall,0.6929207781084378
Controlnet,efficientnet_b0,123,macro_f1,0.7199700213997972
Controlnet,efficientnet_b0,123,macro_auc_ovr,0.9708006053911176
Controlnet,efficientnet_b0,2024,accuracy,0.8581418581418582
Controlnet,efficientnet_b0,2024,balanced_accuracy,0.6738085053140604
Controlnet,efficientnet_b0,2024,macro_precision,0.7483304993898622
Controlnet,efficientnet_b0,2024,macro_recall,0.6738085053140604
Controlnet,efficientnet_b0,2024,macro_f1,0.6920496934405946
Controlnet,efficientnet_b0,2024,macro_auc_ovr,0.9670355590627905
Controlnet,efficientnet_b0,3407,accuracy,0.8551448551448552
Controlnet,efficientnet_b0,3407,balanced_accuracy,0.6723719433570136
Controlnet,efficientnet_b0,3407,macro_precision,0.7324374996735298
Controlnet,efficientnet_b0,3407,macro_recall,0.6723719433570136
Controlnet,efficientnet_b0,3407,macro_f1,0.690104628284998
Controlnet,efficientnet_b0,3407,macro_auc_ovr,0.969395524597387
Controlnet,efficientnet_b0,7777,accuracy,0.8521478521478522
Controlnet,efficientnet_b0,7777,balanced_accuracy,0.6773879074965823
Controlnet,efficientnet_b0,7777,macro_precision,0.7373061010702108
Controlnet,efficientnet_b0,7777,macro_recall,0.6773879074965823
Controlnet,efficientnet_b0,7777,macro_f1,0.693649996954839
Controlnet,efficientnet_b0,7777,macro_auc_ovr,0.970733684195156
DFMGAN,resnet18,42,accuracy,0.8711288711288712
DFMGAN,resnet18,42,balanced_accuracy,0.7152286978048696
DFMGAN,resnet18,42,macro_precision,0.7626221775560647
DFMGAN,resnet18,42,macro_recall,0.7152286978048696
DFMGAN,resnet18,42,macro_f1,0.7358576498534264
DFMGAN,resnet18,42,macro_auc_ovr,0.975303936019931
DFMGAN,resnet18,123,accuracy,0.8701298701298701
DFMGAN,resnet18,123,balanced_accuracy,0.7069452534866034
DFMGAN,resnet18,123,macro_precision,0.7976773471984837
DFMGAN,resnet18,123,macro_recall,0.7069452534866034
DFMGAN,resnet18,123,macro_f1,0.7430777093327465
DFMGAN,resnet18,123,macro_auc_ovr,0.9780649884795057
DFMGAN,resnet18,2024,accuracy,0.8721278721278721
DFMGAN,resnet18,2024,balanced_accuracy,0.7172109972513742
DFMGAN,resnet18,2024,macro_precision,0.7559728153340958
DFMGAN,resnet18,2024,macro_recall,0.7172109972513742
DFMGAN,resnet18,2024,macro_f1,0.734595740653884
DFMGAN,resnet18,2024,macro_auc_ovr,0.9797014674998387
DFMGAN,resnet18,3407,accuracy,0.8701298701298701
DFMGAN,resnet18,3407,balanced_accuracy,0.6898318678046749
DFMGAN,resnet18,3407,macro_precision,0.8026415616751751
DFMGAN,resnet18,3407,macro_recall,0.6898318678046749
DFMGAN,resnet18,3407,macro_f1,0.7268154632121491
DFMGAN,resnet18,3407,macro_auc_ovr,0.977420685508937
DFMGAN,resnet18,7777,accuracy,0.8761238761238761
DFMGAN,resnet18,7777,balanced_accuracy,0.7429509618256853
DFMGAN,resnet18,7777,macro_precision,0.8203450671137436
DFMGAN,resnet18,7777,macro_recall,0.7429509618256853
DFMGAN,resnet18,7777,macro_f1,0.7753752824878061
DFMGAN,resnet18,7777,macro_auc_ovr,0.9773315204749606
DFMGAN,resnet50,42,accuracy,0.8931068931068931
DFMGAN,resnet50,42,balanced_accuracy,0.7910662221607213
DFMGAN,resnet50,42,macro_precision,0.8294446591712978
DFMGAN,resnet50,42,macro_recall,0.7910662221607213
DFMGAN,resnet50,42,macro_f1,0.8079539295704999
DFMGAN,resnet50,42,macro_auc_ovr,0.9834732159859445
DFMGAN,resnet50,123,accuracy,0.8851148851148851
DFMGAN,resnet50,123,balanced_accuracy,0.7513386206712734
DFMGAN,resnet50,123,macro_precision,0.8206491347932706
DFMGAN,resnet50,123,macro_recall,0.7513386206712734
DFMGAN,resnet50,123,macro_f1,0.781246609305606
DFMGAN,resnet50,123,macro_auc_ovr,0.9805260662725267
DFMGAN,resnet50,2024,accuracy,0.8901098901098901
DFMGAN,resnet50,2024,balanced_accuracy,0.7733958713715495
