group,model,seed,metric,value
flow,unet,7777,mDice,0.8947522122185905
flow,unet,7777,mIoU,0.824917897954211
flow,segformer,42,mDice,0.9432407507410535
flow,segformer,42,mIoU,0.897551383886423
flow,segformer,123,mDice,0.9415791436032458
flow,segformer,123,mIoU,0.8952128582305603
flow,segformer,2024,mDice,0.9442783848389046
flow,segformer,2024,mIoU,0.8993306327890326
flow,segformer,3407,mDice,0.9435206966681199
flow,segformer,3407,mIoU,0.8981528460205376
flow,segformer,7777,mDice,0.9409817648934318
flow,segformer,7777,mIoU,0.8933840553005497
flow_yuan,unet,42,mDice,0.878533709775675
flow_yuan,unet,42,mIoU,0.7995612236646029
flow_yuan,unet,123,mDice,0.8833844849875161
flow_yuan,unet,123,mIoU,0.8078445272369461
flow_yuan,unet,2024,mDice,0.895629418003452
flow_yuan,unet,2024,mIoU,0.82627119973942
flow_yuan,unet,3407,mDice,0.883952620265248
flow_yuan,unet,3407,mIoU,0.8070211082428962
flow_yuan,unet,7777,mDice,0.8823046942095418
flow_yuan,unet,7777,mIoU,0.8062773997728879
flow_yuan,segformer,42,mDice,0.9415434483405236
flow_yuan,segformer,42,mIoU,0.8954917993340697
flow_yuan,segformer,123,mDice,0.9416703722931884
flow_yuan,segformer,123,mIoU,0.8956540376394541
flow_yuan,segformer,2024,mDice,0.9397224823792617
flow_yuan,segformer,2024,mIoU,0.8927055929566954
flow_yuan,segformer,3407,mDice,0.9409839041106827
flow_yuan,segformer,3407,mIoU,0.8941624824341003
flow_yuan,segformer,7777,mDice,0.9391342936219512
flow_yuan,segformer,7777,mIoU,0.891063295996987
