"model","metric","group","n","mean","std","ci95_low","ci95_high"
"efficientnet_b0","accuracy","ArSDM","5","0.7413333333333334","0.0073029674334022165","0.7322655015912233","0.7504011650754435"
"efficientnet_b0","accuracy","Controlnet","5","0.7546666666666667","0.010954451150103335","0.7410649190535016","0.7682684142798318"
"efficientnet_b0","accuracy","DFMGAN","5","0.7146666666666667","0.008692269873603537","0.703873788101942","0.7254595452313913"
"efficientnet_b0","accuracy","Derm-T2IM","5","0.7466666666666667","0.018257418583505533","0.7239970873113915","0.769336246021942"
"efficientnet_b0","accuracy","DreamBooth","5","0.704","0.00760116950066093","0.6945619014867848","0.7134380985132152"
"efficientnet_b0","accuracy","LesionGen","5","0.764","0.02139574204784161","0.7374336773843405","0.7905663226156595"
"efficientnet_b0","accuracy","Siamese","5","0.7426666666666668","0.013824294235551855","0.7255015382138063","0.7598317951195274"
"efficientnet_b0","accuracy","T2I-Adapter","5","0.7493333333333333","0.012110601416389996","0.7342960355580063","0.7643706311086603"
"efficientnet_b0","accuracy","baseline","5","0.7813333333333333","0.021291625896895074","0.7548962879939357","0.8077703786727309"
"efficientnet_b0","accuracy","flow","5","0.7493333333333334","0.010110500592068741","0.7367794887443437","0.7618871779223231"
"efficientnet_b0","balanced_accuracy","ArSDM","5","0.6488888888888888","0.0049473908771521516","0.6427458917516873","0.6550318860260904"
"efficientnet_b0","balanced_accuracy","Controlnet","5","0.6855189255189253","0.006682458363765203","0.6772215575491425","0.6938162934887082"
"efficientnet_b0","balanced_accuracy","DFMGAN","5","0.614993894993895","0.012465399940605032","0.5995160566644344","0.6304717333233556"
"efficientnet_b0","balanced_accuracy","Derm-T2IM","5","0.6663247863247863","0.019830165014883175","0.641702384347366","0.6909471883022066"
"efficientnet_b0","balanced_accuracy","DreamBooth","5","0.5953113553113554","0.005226541330214566","0.5888217471065039","0.6018009635162068"
"efficientnet_b0","balanced_accuracy","LesionGen","5","0.6797802197802197","0.03012616077868568","0.6423736505372274","0.7171867890232121"
"efficientnet_b0","balanced_accuracy","Siamese","5","0.6883760683760684","0.015172236047473817","0.6695372491036707","0.707214887648466"
"efficientnet_b0","balanced_accuracy","T2I-Adapter","5","0.6795604395604395","0.01863509487998855","0.6564219131448464","0.7026989659760327"
"efficientnet_b0","balanced_accuracy","baseline","5","0.6987545787545788","0.03148909833430674","0.659655699016972","0.7378534584921856"
"efficientnet_b0","balanced_accuracy","flow","5","0.6911843711843713","0.017856574091106022","0.6690125060041867","0.7133562363645558"
"efficientnet_b0","macro_auc_ovr","ArSDM","5","0.8640939492606158","0.005992766490980365","0.8566529468591235","0.871534951662108"
"efficientnet_b0","macro_auc_ovr","Controlnet","5","0.8759243431465654","0.004331444491806008","0.8705461444608719","0.881302541832259"
"efficientnet_b0","macro_auc_ovr","DFMGAN","5","0.8485750915750916","0.008628308624816615","0.8378616313902657","0.8592885517599175"
"efficientnet_b0","macro_auc_ovr","Derm-T2IM","5","0.8736758920092254","0.00696198973960071","0.8650314399936991","0.8823203440247516"
"efficientnet_b0","macro_auc_ovr","DreamBooth","5","0.8373781712115045","0.006108208951916607","0.8297938280624036","0.8449625143606053"
"efficientnet_b0","macro_auc_ovr","LesionGen","5","0.8591050513272738","0.008176599963360868","0.8489524615250543","0.8692576411294932"
